"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Black stories 50 aenigmata nigerrima",,,"Bösch, Holger","[2015]",,"720 I 721 Bla",,,,,
"Stadtbibliothek Chemnitz","Quick Buzz das Vokabelduell spanisch$dSpanisch lernen mit Spass und Action",,,,"2015",,"350 I 351 Qui",,,,,
"Stadtbibliothek Chemnitz","Tangramino",,,"Lyons, Michel","[2015] © 2015",,"Rot Spiele Tangr",,,,,
"Stadtbibliothek Chemnitz","MiMiQ® Schneide die richtige Grimasse!",,,"Møller Andersen, Freddy","[2015] © 2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Smart Cookies",,,"Lyons, Michel","[2015] © 2015",,"Rot Spiele Smart",,,,,
"Stadtbibliothek Chemnitz","Star Wars Ubongo das erwachen der Macht",,,"Rejchtman, Grzegorz","[2015] ©2015",,"Rot Spiele Star",,,,,
"Stadtbibliothek Chemnitz","Kleiner Garten ein kooperatives Farbspiel rund ums Gärtnern",,,"Hüppner, Christiane","2015",,"Sport Spiel",,,,,
"Stadtbibliothek Chemnitz","Spookies",,,"Kloß, Stefan","[2015] ©2015",,"Rot Spiele Spook",,,,,
"Stadtbibliothek Chemnitz","Die Siedler von Catan Junior",,,"Teubner, Klaus","2015",,"Rot Spiele Siedler",,,,,
"Stadtbibliothek Chemnitz","Mein magisches Wettlaufspiel Aus dem Film Disney Die Eiskönigin",,,,"2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der Herr der Ringe Die Reise nach Mordor",,,"Rieneck, Michael","2015",,"Rot Spiele Herr",,,,,
"Stadtbibliothek Chemnitz","Ali Baba Memo",,,"Ehrhard, Dominique","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mein erstes Bohnanza Spiel",,,"Bickel, Heike","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mount Pingo ein drängeliges Stapelspiel",,,"Steinwender, Arno","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Elfer raus!",,,,"2015",,"Rot Spiele Elfe",,,,,
"Stadtbibliothek Chemnitz","Casa Banana",,,"Hutzler, Thilo","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der silberne Stern das zauberhafte Würfelspiel",,,"Brand, Inka","2015",,"Rot Spiele Silber",,,,,
"Stadtbibliothek Chemnitz","Rauf und Runter Die Savanne steht kopf!",,,"Brand, Inka","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Animal Trip",,,"Moyersoen, Fréderic","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Crokinole Schnipp dich zum Sieg!",,,,"[2015] ©2015",,"Rot Spiele Crokin",,,,,
"Stadtbibliothek Chemnitz","Der kleine Drache Kokosnuss - Rettet das Feuergras!",,,"Kneisel, Janet","[2015] ©2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Rumms Voll auf die Krone!",,,"Sibthorpe, Garry","[2015] ©2015",,"Rot Spiele Rumms",,,,,
"Stadtbibliothek Chemnitz","Lumis Der @Pfad des Feuers",,,"Glenn, Stephen","2015",,"G 211 Gle",,,,,
"Stadtbibliothek Chemnitz","Imita",,,"Bougie, Nadine","[2015] ©2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mein erstes ABC Was kannst du dir in 10 Sekunden merken?",,,,"2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Quick Buzz Das Vokabelduell Französisch lernen mit Spass und Action : Niveau A1-B1",,,,"[2015] © 2015",,"310 I 314.3 Qui",,,,,
"Stadtbibliothek Chemnitz","Schatzsuche in der Buchstaben-Burg Hinter welcher Tür versteckt sich die Giraffe?",,,"Haferkamp, Kai","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Seventh Hero legendäre Krieger",,,"Kuroda, Yasushi","[2015] © 2015",,"Games Seventh",,,,,
"Stadtbibliothek Chemnitz","Titus Tentakel Vorsicht Krakenarme!",,,"Colovini, Leo","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Harry Hopper flipp, flipp, hurra!",,,"Nadler, Florian","2015",,"Rot Spiele Harry",,,,,
"Stadtbibliothek Chemnitz","Abenteuerland",,,"Kramer, Wolfgang","[2015] ©2015",,"Blau Spiele Abenteu",,,,,
"Stadtbibliothek Chemnitz","Labyrinth",,,"Kobbert, Max J.","2015",,"Rot Spiele Laby",,,,,
"Stadtbibliothek Chemnitz","Gipfelstürmer",,,"Friese, Friedemann","2015",,"Rot Spiele Gipfe",,,,,
"Stadtbibliothek Chemnitz","Labyrinth Junior Aus dem Film Disney Frozen",,,"Kobbert, Max J.","2015",,"Rot Spiele Labyr",,,,,
"Stadtbibliothek Chemnitz","Auf zum Eispalast! aus dem Film Disney Frozen",,,"Kneisel, Janet","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Diniosaurier Was kannst du dir in 10 Sekunden merken?",,,,"2015",,"Sport Spiele",,,,,
