"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Cuba ein Spiel um Zigarren, Rum und Macht",,,"Rieneck, Michael","2007",,"Games Cuba",,,,,
"Stadtbibliothek Chemnitz","Paroxy Das blitzschnelle Ratespiel!",,,"Ross, Brad","2007",,"Games Paroxy",,,,,
"Stadtbibliothek Chemnitz","Graffiti alle malen, einer rät!",,,"Zeimet, Jacques","2007",,"Blau Spiele Gra",,,,,
"Stadtbibliothek Chemnitz","Wunderwelt Wissen das Spiel",,,,"2007",,"Games Wunder",,,,,
"Stadtbibliothek Chemnitz","Take it! Wer dreimal richtig nimmt, gewinnt!",,,,"2007",,"Games Take",,,,,
"Stadtbibliothek Chemnitz","Einfach genial Knobelspaß",,,"Knizia, Reiner","2007",,"Games Einfach",,,,,
"Stadtbibliothek Chemnitz","Trivial Pursuit deluxe Fragen in 3 Schwierigkeitsstufen, zusätzliche Spielfunktionen ; das klassische Wissensspiel mit dem völlig neuen Dreh!",,,,"2007",,"G 212 Tri",,,,,
"Stadtbibliothek Chemnitz","Zocken! spannender Würfelspaß für 2-6 Glückspilze",,,"Richardson, Tony","[2007]",,"Games Zocken",,,,,
"Stadtbibliothek Chemnitz","Cluedo - Live Party alles, was Sie für Ihre eigene Krimiparty brauchen!",,,,"2007",,"Games Cluedo",,,,,
"Stadtbibliothek Chemnitz","Der Boss mit Risiko zum Monopol",,,"Bernard, Pascal","2007",,"Games Boss",,,,,
"Stadtbibliothek Chemnitz","Cluedo das klassische Detektivspiel",,,,"[2007]",,"Games Cluedo",,,,,
"Stadtbibliothek Chemnitz","Deal or no deal die beliebte Game-Show alshochspannende Brettspiel-Variante",,,,"2007",,"Games Deal",,,,,
"Stadtbibliothek Chemnitz","Can't Stop! das Würfelspiel mit Suchtpotential",,,"Sackson, Sid","2007",,"Games Can't Spiel III G Can",,,,,
"Stadtbibliothek Chemnitz","Alchemist",,,"Rossi, Carlo A.","2007",,"Games Alche Blau Spiele Alche",,,,,
"Stadtbibliothek Chemnitz","Wikinger",,,"Kiesling, Michael","2007",,"Games Wikin",,,,,
"Stadtbibliothek Chemnitz","Blindes Huhn geplufft gezockt gewonnen - ein Kartenspiel mit Bluff und Schadenfreude!",,,"Risthaus, Heike","2007",,"Games Blindes",,,,,
"Stadtbibliothek Chemnitz","Deutschland - Finden Sie Minden [das spannende Spiel um deutsche Städte und Gebiete]",,,"Burkhardt, Günter","2007",,"Games Deutsch",,,,,
"Stadtbibliothek Chemnitz","Portobello Market",,,,"2007",,"Blau Spiele Por",,,,,
"Stadtbibliothek Chemnitz","Beppo der Bock ein magnetisches Geschicklichkeitsspiel",,,"Zoch, Klaus","2007",,"Sport Spiele Spiel I G Bep",,,,,
"Stadtbibliothek Chemnitz","1, 2, 3 ... wie lerne ich die zahlen? die Zahlen von 1 bis 10 spielerisch begreifen",,,"Friedrich, Gerhard","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Allikroko",,,"Pokornik, Brigitte","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Jetzt schlägt's 13 [Dreizehn] das gefährlich gute Kartenspiel",,,"Dorn, Rüdiger","2007",,"Rot Spiele Jet",,,,,
"Stadtbibliothek Chemnitz","Der kleine Medicus ein Spiel für die ganze Familie",,,"Grönemeyer, Dietrich","2007",,"Rot Spiele Kle",,,,,
"Stadtbibliothek Chemnitz","Erstes Wissen - Tiere",,,,"2007",,"Rot Spiele Ers",,,,,
"Stadtbibliothek Chemnitz","Tastaro",,,"Hüpper, Christiane","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Welcher Dino ist das? dinostarkes Merk-Spiel",,,,"2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Zooloretto",,,"Schacht, Michael","2007",,"Blau Spiele Zoo",,,,,
"Stadtbibliothek Chemnitz","Rund um den Kalender eine Reise durch Monate und Jahreszeiten",,,"Walch, Helmut","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Franz Frosch",,,"Daum, Thomas","2007",,"Sport Spiele I G Fra",,,,,
"Stadtbibliothek Chemnitz","Erstes Wissen - Unsere Welt ein Wissenspiel mit 60 Abbildungen und kleinem Länderlexikon",,,,"2007",,"Spiel II Spiele Ers",,,,,
"Stadtbibliothek Chemnitz","Schlaubär lernt zählen Lernspiel = Clever Bear Learns to Count",,,"Dreier-Brückner, Anja","2007",,"Sport Spiele Spiel I G Schla",,,,,
"Stadtbibliothek Chemnitz","Quadris visuelle Logik",,,"Rüttinger, Michael","2007",,"Sport Spiele I G Qua",,,,,
"Stadtbibliothek Chemnitz","Anno 1701 - Das Brettspiel das Spiel basierend auf ""Die Siedler von Catan""",,,"Teuber, Klaus","2007",,"Games Anno",,,,,
"Stadtbibliothek Chemnitz","1000 places to see before you die begeben sie sich auf Weltreise - das Spiel",,,"Schulz, Patricia","2007",,"G 212 1000 II Spiele 1000",,,,,
"Stadtbibliothek Chemnitz","Sortivity das clevere Wissensspiel. Spaß und Spannung",,,"Sofeit, Peter","2007",,"Games Sorti",,,,,
"Stadtbibliothek Chemnitz","Ratz Fatz auf den Pferdehof",,,"Bücken, Hajo","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Volle Wolle",,,"Zucchini, Alessandro","2007",,"Rot Spiele Vol Games Volle",,,,,
"Stadtbibliothek Chemnitz","Abenteuer auf dem Zahlen-Fluss fließend Kopfrechnen von 1 - 100",,,"Knizia, Reiner","2007",,"Rot Spiele Abe",,,,,
"Stadtbibliothek Chemnitz","Pippi Langstrumpf macht was ihr gefällt",,,"Haferkamp, Kai","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Pippi Langstrumpf und ihre Freunde spannendes Merkspiel",,,"Haferkamp, Kai","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Super Scrabble eine neue, herausfordernde Scrabble-Variante ...",,,,"2007",,"G 212 Sup",,,,,
"Stadtbibliothek Chemnitz","Monopoly - die MEGA-Edition",,,,"2007",,"G 211 Mon",,,,,
"Stadtbibliothek Chemnitz","Das weiß doch jedes Kind das Spiel zur SAT.1 TV-Show",,,,"2007",,"G 212 Wei",,,,,
"Stadtbibliothek Chemnitz","Ponte del Diavolo",,,"Ebel, Martin","2007",,"Blau Spiele Ponte",,,,,
"Stadtbibliothek Chemnitz","Hast du Hunger, kleine Raupe? je mehr sie frisst, desto länger wird sie!",,,"Lange, Angelika","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schweine Roulette",,,"Rüttinger, Michael","2007",,"Rot Spiele Schwe",,,,,
"Stadtbibliothek Chemnitz","Häuptling Wackelnix",,,"Baars, Gunter","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Europareise spielend Europa entdecken",,,"Kramer, Wolfgang","2007",,"Blau Spiele Eur",,,,,
"Stadtbibliothek Chemnitz","Würfel-Bingo auch allein spielbar",,,"Wüppen, Heinz","2007",,"G 260 Wür",,,,,
"Stadtbibliothek Chemnitz","Die 70er",,,,"2007",,"G 212 Wei/70",,,,,
"Stadtbibliothek Chemnitz","Big Brain Academy das Brettspiel ; wer hat am meisten Grips?",,,,"2007",,"G 211 Big",,,,,
"Stadtbibliothek Chemnitz","Die 50er",,,,"2007",,"G 212 Wei/50",,,,,
"Stadtbibliothek Chemnitz","Agricola das 17. Jahrhundert: keine einfache Zeit für Landwirte",,,"Rosenberg, Uwe","2007",,"Blau Spiele Agr",,,,,
"Stadtbibliothek Chemnitz","Ubongo extrem verrückt und zugelegt",,,"Rejchtman, Grzegorz","2007",,"Rot Spiele Ubo Games Ubongo",,,,,
"Stadtbibliothek Chemnitz","Bezzerwizzer leichtes Spiel für Cleverquizzer",,,,"2007",,"G 212 Bez",,,,,
"Stadtbibliothek Chemnitz","Die 60er",,,,"2007",,"G 212 Wei/60",,,,,
"Stadtbibliothek Chemnitz","Dog - den letzten beissen die Hunde",,,,"[2007]",,"Games Dog G 212 Dog",,,,,
"Stadtbibliothek Chemnitz","Gift Trap das überraschende Spiel ums Schenken ; das einzigartige Partyspiel",,,"Kellet, Nick","2007",,"Games Gift",,,,,
"Stadtbibliothek Chemnitz","Quatana raffinierte Quadratkombination",,,"Gattermeyer-Kapp, Ulrike","2007",,"G 212 Qua Games Quata",,,,,
"Stadtbibliothek Chemnitz","Camelot Jr. eine romantische Knobelei",,,"Peeters, Raf","2007",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Nichtlustig ein turbulentes Würfelspiel",,,"Sauer, Joscha","2007",,"Games Nicht",,,,,
"Stadtbibliothek Chemnitz","Wazabi",,,,"2007",,"Blau Spiele Wazab",,,,,
"Stadtbibliothek Chemnitz","Sakkara die Zeichen der Pharaonen",,,"Grabmeier, Manfred","2007",,"Blau Spiele Sakka",,,,,
"Stadtbibliothek Chemnitz","Das@ verrückte Labyrinth Wer schiebt, der hat's - Geister und Schatz",,,"Kobbert, Max J.","2007",,"Rot Spiele Ver",,,,,
"Stadtbibliothek Chemnitz","Sachsen",,,,"2007",,"Ter G 20.0 Sachsen Deu/Sach",,,,,
"Stadtbibliothek Chemnitz","Hexentanz das verhexte Verwirrspiel",,,"Hölle, Björn","2007",,"Rot Spiele Hex",,,,,
"Stadtbibliothek Chemnitz","E wie Elefant Laute hören und Buchstaben entdecken",,,"Krause, Joachim","[2006] © 2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Giro Galoppo auf die Pferde! Verflixtes Pferderennen mit einer Spielvariante",,,"Grunau, Jürgen P.K.","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Obstgarten",,,"Farkaschovsky, Anneliese","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Gänsespiel Jeu De L'oie",,,,"2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Nino Conillo - Land unter im Hasenstall aufregendes Würfelspiel für 2 oder mehr beherzte Tierfreunde ab 3 Jahren",,,"Knizia, Reiner","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Oregon Aufbruch in neue Länder",,,"Kramer, Wolfgang","2006",,"Games Orego Blau Spiele Ore",,,,,
"Stadtbibliothek Chemnitz","Tabu",,,,"2006",,"Blau Spiele Tab",,,,,
"Stadtbibliothek Chemnitz","Benjamin Blümchen - Verkehrsdomino was passt zu welcher Situation? ; Verkehrslernspiel",,,,"2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Extreme Activity",,,"Catty, Paul","2006",,"Games Extreme",,,,,
"Stadtbibliothek Chemnitz","Richtig oder falsch? das Spiel",,,,"2006",,"Games Richtig",,,,,
"Stadtbibliothek Chemnitz","Quizspiel der Zeitgeschichte mit berühmten Persönlichkeiten aus Kunst, Wissenschaft, Sport, Politik und Kultur",,,"Jentges, Jens","2006",,"G 212 Qui",,,,,
"Stadtbibliothek Chemnitz","Die Baumeister von Arkadia Gründung und Aufbau einer fantastischen Stadt",,,"Dorn, Rüdiger","2006",,"Blau Spiele Ark",,,,,
"Stadtbibliothek Chemnitz","Winomino",,,,"2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Kinder unserer Welt",,,,"2006",,"Spiel II Spiele Kin",,,,,
"Stadtbibliothek Chemnitz","Die Säulen von Venedig",,,"Flore, Christian","2006",,"Blau Spiele Säu",,,,,
"Stadtbibliothek Chemnitz","Das Taschengeld-Spiel wer wird der beste Taschengeld-Manager?",,,"Nork, Antonia","[2006?]",,"Rot Spiele Tas",,,,,
"Stadtbibliothek Chemnitz","Tier auf Tier",,,"Miltenberger, Klaus","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Blokus Trigon eine Herausforderung für ihre grauen Zellen",,,"Tavitian, Bernard","2006",,"Blau Spiele Blo",,,,,
"Stadtbibliothek Chemnitz","Erstes Wissen - Indianer ein Wissens Spiel",,,"Lange, Angelika","2006",,"Rot Spiele Erstes",,,,,
"Stadtbibliothek Chemnitz","Do you speak English? spielerisch zum ersten Wortschatz",,,,"2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Benjamin Blümchen - Lern die Uhr! Spass haben und lernen",,,,"2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Colorama - Kennst du die Farben?",,,"Geister, Ekkehard","2006",,"Sport Spiele Präsenzspiel",,,,,
"Stadtbibliothek Chemnitz","Vertellekes - das neue",,,"Fiedler, Petra","2006",,"G 212 Ver",,,,,
"Stadtbibliothek Chemnitz","Fische fangen",,,"Knizia, Reiner","2006",,"Sport Spiele Spiel I G Fis",,,,,
"Stadtbibliothek Chemnitz","Kleine Gewitterhexe",,,"Krämer, Imke","[2006]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Little Amadeus: Mein erstes Orchester",,,"Knizia, Reiner","2006",,"Rot Spiele Little",,,,,
"Stadtbibliothek Chemnitz","Dschingis Khan Bewegung an der Großen Mauer",,,"Colovini, Leo","2006",,"Blau Spiele Dschin",,,,,
"Stadtbibliothek Chemnitz","Tabu XXL 4 verschiedene Tabu-Varianten in einem",,,,"2006",,"G 212 Tab",,,,,
"Stadtbibliothek Chemnitz","Primo Calculino nur was passt, kommt in die Tüte ; ein mathematisches Lernspiel mit vielen Varianten",,,"Knizia, Reiner","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Logi-Geister das Logikspiel mit ratternden Zahnrädern",,,"Baars, Gunter","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Quips welche Farbsteine passen zu deinem Bild",,,"Design, Theora","1972 / 2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ave Caesar",,,"Riedesser, Wolfgang","[2006]",,"Blau Spiele Ave",,,,,
"Stadtbibliothek Chemnitz","Damals & Heute [Memo-Spiel] = Then & Now",,,,"2006",,"G 212 Dam",,,,,
"Stadtbibliothek Chemnitz","Monopoly - SpongeBob Schwammkopf das berühmte Gesellschaftsspiel",,,,"2006",,"Rot Spiele Mon",,,,,
"Stadtbibliothek Chemnitz","Skybridge",,,"Ritchey, Adam","2006",,"G 212 Sky",,,,,
"Stadtbibliothek Chemnitz","Typisch Frau, typisch Mann",,,"Knizia, Reiner","2006",,"G 212 Typ",,,,,
"Stadtbibliothek Chemnitz","Party & Co Vorsicht: Angriff auf die Lachmuskeln",,,,"2006",,"Games Party Blau Spiele Party G 219 Par",,,,,
"Stadtbibliothek Chemnitz","RushHour deluxe edition das ultimative Stauspiel!",,,,"2006",,"Blau Spiele Rush",,,,,
"Stadtbibliothek Chemnitz","Rolit Classic",,,,"[2006]",,"Rot Spiele Rolit",,,,,
"Stadtbibliothek Chemnitz","Rummy",,,,"[2006]",,"Games Rummy",,,,,
"Stadtbibliothek Chemnitz","You've been sentenced! play, create, justify, laugh, win!",,,,"[2006]",,"210 Rot G 21 You",,,,,
"Stadtbibliothek Chemnitz","Genial daneben das Spiel",,,,"2006",,"Games Genial",,,,,
"Stadtbibliothek Chemnitz","Sequence mit Glück und Strategie zum Sieg",,,,"2006",,"Rot Spiele Seque",,,,,
"Stadtbibliothek Chemnitz","Ritter Kunibert im Zahlenland Zahlen von 1 - 10 erleben und verstehen ; spielend Neues lernen",,,"Haferkamp, Kai","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Komm mit! eine Reise durch die Welt der Sprachen",,,,"2006",,"Rot Spiele Komm",,,,,
"Stadtbibliothek Chemnitz","Rondo Vario",,,"Hiese, Kirsten","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Haste Bock!? eine spielerische Schererei",,,"Lamont, Fraser","2006",,"Blau Spiele Haste",,,,,
"Stadtbibliothek Chemnitz","Puzzle Zoo",,,,"2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wer kennt die Uhr? Mit Stunden und Minuten spielend durch den Tag",,,"Marckwort, Ulf","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Säulen der Erde England zu Beginn des 12. Jahrhunderts",,,"Rieneck, Michael","2006",,"Games Säulen",,,,,
"Stadtbibliothek Chemnitz","Rechenkönig Lernspiel",,,"Wrede, Anja","[2006]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Blue Moon City",,,"Knizia, Reiner","2006",,"Blau Spiele Blu",,,,,
"Stadtbibliothek Chemnitz","Das große Kosmos Natur-Quiz über 2600 Fragen und Antworten",,,"Oftring, Bärbel","2006",,"Rot Spiele Gro",,,,,
"Stadtbibliothek Chemnitz","Erstes Wissen - Saurier",,,,"2006",,"Rot Spiele Ers",,,,,
"Stadtbibliothek Chemnitz","Doppel-Wort Faktenwissen nein, Denken ja!",,,,"2006",,"Blau Spiele Dop",,,,,
"Stadtbibliothek Chemnitz","Aquädukt",,,"Weber, Bernhard","2006",,"Spiel II Spiele Aqu",,,,,
"Stadtbibliothek Chemnitz","Rechen-Kapitän Schiff ahoi mit den Zahlen von 1 - 20",,,"Knizia, Reiner","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Just 4 Fun kurz ist die Regel - lang ist der Spaß!",,,"Grunau, Jürgen P.K.","2006",,"Blau Spiele Jus",,,,,
"Stadtbibliothek Chemnitz","Los Mampfos wichtig ist, was rauskommt!",,,"Dorn, Maja","2006",,"Sport Spiele Spiel I G Los",,,,,
"Stadtbibliothek Chemnitz","Planeten und Raumfahrt Quiz Spiel",,,,"2006",,"Rot Spiele Pla",,,,,
"Stadtbibliothek Chemnitz","Spuren im Wald Wer findet die Tiere?",,,"Franz, Rita","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Thurn und Taxis",,,"Seyfarth, Karen","2006",,"Blau Spiele Thu G 212 Thu",,,,,
"Stadtbibliothek Chemnitz","Nottingham",,,"Rosenberg, Uwe","2006",,"Blau Spiele Not",,,,,
"Stadtbibliothek Chemnitz","Drachenreiter Wettflug der Magier",,,"Wrede, Klaus-Jürgen","2006",,"Blau Spiele Dra",,,,,
"Stadtbibliothek Chemnitz","Piratissimo Welches Piratenschiff bringt zuerst zehn Schätze in den sicheren Hafen?",,,"Ludwig, Manfred","2006",,"Sport Spiele Spiel I G Pir",,,,,
"Stadtbibliothek Chemnitz","Chemnitz die Stadt spielend kennen lernen",,,,"[2006]",,"Ter L 11.1 Chemnitz Cit/Chem",,,,,
"Stadtbibliothek Chemnitz","Monopoly Chemnitz",,,,"2006",,"2H 4454 Rot Spiele Mon",,,,,
"Stadtbibliothek Chemnitz","Asterix & Obelix fröhliche Keilerei für Zwei",,,"Rieneck, Michael","2006",,"Rot Spiele Asterix",,,,,
"Stadtbibliothek Chemnitz","Benjamin Blümchen Verkehrslernspiel Sicher mit dem Fahrrad, mit Merkheft",,,,"2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wort für Wort Wörter lesen, schreiben und buchstabieren ; 6-9 Jahre",,,"Walch, Helmut","2006",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Trivial Pursuit Familien Edition ; der Wissensspiel-Klassiker für die ganze Familie",,,,"2006",,"G 212 Tri",,,,,
"Stadtbibliothek Chemnitz","Das Arche-Noah Spiel wer bringt die meisten Tierpaare in die Arche?",,,"Rüttinger, Michael","2005",,"Rot Spiele Arche",,,,,
"Stadtbibliothek Chemnitz","Langenscheidt Englisch mit Ritter Rost das Kartenspiel ; für Kinder im Grundschulalter",,,,"2005",,"Rot I 2 Lan",,,,,
"Stadtbibliothek Chemnitz","Fjorde [Spiel]",,,"Delonge, Franz-Benno","2005",,"Rot Spiele Fjo",,,,,
"Stadtbibliothek Chemnitz","Verflixxt! [Spiel] doch wer zuletzt lacht, lacht am besten!",,,"Kramer, Wolfgang","2005",,"Rot Spiele Ver",,,,,
"Stadtbibliothek Chemnitz","Ubongo [Spiel] verrückt und zugelegt",,,"Rejchtman, Grzegorz","2005",,"Rot Spiele Ubo Games Ubongo",,,,,
"Stadtbibliothek Chemnitz","Heck Meck am Bratwurmeck [Spiel]",,,"Knizia, Reiner","2005",,"Rot Spiele Hec",,,,,
"Stadtbibliothek Chemnitz","Labyrinth - Die Schatzjagd [Spiel] gleichzeitig durchs Labyrinth - der Schnellste gewinnt!",,,"Baars, Gunter","2005",,"Rot Spiele Lab",,,,,
"Stadtbibliothek Chemnitz","Buddel Company [Spiel] drunter und drüber beim spannenden Maulwurf-raten",,,"Baars, Gunter","2005",,"Sport Spiele Spiel I G Bud",,,,,
"Stadtbibliothek Chemnitz","Sag's mit Symbolen [Spiel]",,,"Weber, Claude","2005",,"Spiel III G Sag G 212 Sag",,,,,
"Stadtbibliothek Chemnitz","Hattu Möhrchen [Spiel] Wer findet die Karotten ohne Wurm?",,,,"2005",,"Sport Spiele Spiel I G Hat",,,,,
"Stadtbibliothek Chemnitz","Schildi Schildkröte [Spiel]",,,"Hofstätter, Ronald","2005",,"Sport Spiele Spiel I G Schil",,,,,
"Stadtbibliothek Chemnitz","Mondreise [Spiel]",,,"Pokornik, Brigitte","2005",,"Sport Spiele Spiel I G Mon",,,,,
"Stadtbibliothek Chemnitz","Cameleon [Spiel]",,,,"2005",,"Rot Spiele Cam",,,,,
"Stadtbibliothek Chemnitz","Genial daneben das Spiel",,,"Schliemann, Jens-Peter","2005",,"Blau Spiele Genial",,,,,
"Stadtbibliothek Chemnitz","Frauen & Männer [Spiel] fünf Gründe, warum die zusammen spiele sollten!",,,"Rosenberg, Uwe","2005",,"Games Frauen",,,,,
"Stadtbibliothek Chemnitz","Confusion die totale Verwirrung der Sinne",,,"Martin, Holger","2005",,"Blau Spiele Confu",,,,,
"Stadtbibliothek Chemnitz","Phase 10 [Spiel]",,,,"2005",,"Games Phase",,,,,
"Stadtbibliothek Chemnitz","Original Rummikub Wort Bringt Menschen zusammen",,,"Hertzano, Ephraim","2005",,"Rot Spiele Origi",,,,,
"Stadtbibliothek Chemnitz","Equilibrio das knifflige Logikspiel für Baumeitser mit ruhiget Hand und hellem Köpfchen",,,"Lyons, Michel","2005",,"Rot Spiele Equ 2 Spieler I G",,,,,
"Stadtbibliothek Chemnitz","Antike Führe Dein antikes Volk zum Sieg! Gewinne die Gunst antiker Persönlichkeiten.",,,"Gerdts, Mac","2005",,"Games Antike",,,,,
"Stadtbibliothek Chemnitz","Anti-Monopoly das Wirtschaftsspil des 21. Jahrhunderts",,,,"2005",,"Games Anti",,,,,
"Stadtbibliothek Chemnitz","Was? Wann? Wo? das rasante Quizspiel ... mit über 1000 Fragen",,,"Telford, Lisa","2005",,"Blau Spiele Was",,,,,
"Stadtbibliothek Chemnitz","Schatten über Camelot",,,"Laget, Serge","2005",,"Blau Spiele Schat",,,,,
"Stadtbibliothek Chemnitz","Denksport originelles Mentaltraining für Logik, Fantasie und Kreativität. Um die Ecke denken und topfit werden!",,,"Arts, Binary","2005",,"Games Denk",,,,,
"Stadtbibliothek Chemnitz","Camillo Einladend-flottes Mitbringspiel für 2 oder mehr Spieler",,,"Knizia, Reiner","2005",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das Original-Malefiz-Spiel",,,"Schöppner, Werner","2005",,"G 260 Ori",,,,,
"Stadtbibliothek Chemnitz","PlanQuadrat",,,,"2005",,"G 212 Pla",,,,,
"Stadtbibliothek Chemnitz","Hazienda",,,"Kramer, Wolfgang","2005",,"G 212 Haz",,,,,
"Stadtbibliothek Chemnitz","Phase 10 US Bestseller",,,"Weiss, Thomas","2005",,"Blau Spiele Phase",,,,,
"Stadtbibliothek Chemnitz","Zauberlehrling ein mag(net)isches Würfelspiel",,,,"2005",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Roulette",,,,"2005",,"G 260 Rou",,,,,
"Stadtbibliothek Chemnitz","Halli Galli auf die Glocke, fertig-los!",,,,"2005",,"Rot Spiele Halli",,,,,
"Stadtbibliothek Chemnitz","Cluedo - DVD Brettspiel das klassische Detektivspiel mit interaktiver DVD",,,,"2005",,"G 212 Clu",,,,,
"Stadtbibliothek Chemnitz","Activity - Club-Edition nur für Erwachsene",,,"Catty, Paul","2005",,"Games Activ",,,,,
"Stadtbibliothek Chemnitz","Schau genau! ein spannendes Suchspiel für kleine und große Spürnasen ; Wer findet den Gegenstand am schnellsten?",,,,"2005",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Roulette Deluxe Set ... rien ne va plus!",,,,"2005",,"Games Roule",,,,,
"Stadtbibliothek Chemnitz","Denk-Krimi spannender Krimi-Spaß, der Konzentration, Gedächtnis und Kreativität trainiert. Ein Fall für mehr mentale Fitness",,,"Kobbert, Max","2005",,"G 212 Den Games Denk",,,,,
"Stadtbibliothek Chemnitz","Globetrotter",,,"Schampheleire, Jan ¬de","2005",,"Games Globe",,,,,
"Stadtbibliothek Chemnitz","Logik Trainer abwechslungsreiches Mentaltraining, das Logik, Konzentration und Kreativität verbessert und sie schnell auf den Erfolgsweg bringt - auch im Alltag",,,,"2005",,"G 212 Log Games Logik",,,,,
"Stadtbibliothek Chemnitz","Gesucht + Gefunden für die 2. Klasse - Konzentration",,,"Lauster, Ursula","2005",,"Rot Spiele Ges",,,,,
"Stadtbibliothek Chemnitz","Die Chroniken von Narnia - Der König von Narnia Risiko",,,"Borg, Richard","2005",,"Games Chron",,,,,
"Stadtbibliothek Chemnitz","Sudoku das Brettspiel",,,"Knizia, Reiner","2005",,"G 211 Sud",,,,,
"Stadtbibliothek Chemnitz","Lesehexe Lernspiel",,,"Wrede, Anja","[2005]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schnelldenker",,,"Meyers, Keith","2005",,"Spiel III G Schne",,,,,
"Stadtbibliothek Chemnitz","Schatz in Sicht Lernspiel = Ahoy Treasures!",,,"Hoffmann, Rudi","2005",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Nacht der Magier das Dunkel Spiel",,,"Becker, Kirsten","2005",,"Rot Spiele Nac",,,,,
"Stadtbibliothek Chemnitz","Fantastico variantenreicher Legespielklassiker",,,"Kinzebach, Barbara","2005",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Take it easy!",,,,"2005",,"Blau Spiele Tak",,,,,
"Stadtbibliothek Chemnitz","Saggsen Gadan de säggs'schen Siedler ; zum 10-jährigen Jubiläum des Deutschen Spielemuseum e.V.",,,"Teuber, Klaus","2005",,"2H 4083",,,,,
"Stadtbibliothek Chemnitz","Manila",,,"Delonge, Franz-Benno","2005",,"Blau Spiele Manila",,,,,
"Stadtbibliothek Chemnitz","Screen Test die Film-Quiz DVD",,,,"2005",,"G 212 Screen",,,,,
"Stadtbibliothek Chemnitz","Auf heißer Spur [Spiel] die schnelle Jagd nach dem richtigen Dieb!",,,"Ehrhard, Dominique","2005",,"Rot Spiele Auf",,,,,
"Stadtbibliothek Chemnitz","Käpt'n Kuck Cäpt'n Look",,,"Tiggemann, Christian","2005",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das kleine Gespenst",,,"Preußler, Otfried","2005",,"Sport Spiele Spiel I G Kle",,,,,
"Stadtbibliothek Chemnitz","Djenné, Mali",,,"National Geographic Society","[2004]",,"DWA9.2/ 34",,,,,
"Stadtbibliothek Chemnitz","Sankt Petersburg",,,"Tummelhofer, Michael","2004",,"Blau Spiele Sankt",,,,,
"Stadtbibliothek Chemnitz","Nimm uns mit, Jim Knopf! [Spiel]",,,"Ende, Michael","2004",,"Sport Spiele Spiel I G Nim",,,,,
"Stadtbibliothek Chemnitz","Hennen rennen [Spiel] immer weiter auf der Leiter",,,"Knizia, Reiner","2004",,"Rot Spiele Hen",,,,,
